Sample	No	Stn	Individual	Initial depth	Final Depth	Year	Date	Long	Lat	Size	RFLP_diagnostic	Msat_diagnostic	Combined_diagnostic	EL696609	EL696609	EL585922	EL585922	EH666870	EH666870	EL773519	EL773519	EH666474	EH666474	EL773359	EL773359	FK868270	FK868270	FG632811	FG632811	FK670364	FK670364	FK867682	FK867682
Ech1	1	CAPC	3	126	0	2009	21-juil-09	-70.7	48.4	3.1	G	H	H	114	114	163	163	135	141	191	191	136	136	133	133	238	241	244	247	288	294	170	170
Ech1	2	CAPC	4	126	0	2009	21-juil-09	-70.7	48.4	3.3	G	H	H	114	114	163	163	135	141	191	197	133	133	0	0	238	241	244	247	282	285	168	170
Ech1	3	CAPC	5	126	0	2009	21-juil-09	-70.7	48.4	3.1	G	H	H	114	114	163	163	135	141	191	197	133	133	133	133	238	241	247	247	288	291	170	170
Ech1	4	CAPC	6	126	0	2009	21-juil-09	-70.7	48.4	3.2	G	H	H	114	114	163	163	135	141	191	197	133	133	133	133	238	241	244	247	288	294	170	170
Ech1	5	CAPC	7	126	0	2009	21-juil-09	-70.7	48.4	3.2	G	G	G	114	114	163	163	135	141	191	197	133	133	133	133	238	238	247	247	285	291	170	170
Ech1	6	CAPC	8	126	0	2009	21-juil-09	-70.7	48.4	3.1	G	H	H	114	114	163	163	135	141	191	197	133	133	133	133	238	241	247	247	288	288	170	170
Ech1	7	CAPC	9	126	0	2009	21-juil-09	-70.7	48.4	2.5	F	H	H	118	118	163	163	141	141	191	191	133	133	127	133	232	238	247	247	291	297	168	168
Ech1	8	CAPC	10	126	0	2009	21-juil-09	-70.7	48.4	3.2	G	H	H	114	114	163	163	135	141	191	197	133	133	133	136	238	244	247	247	288	294	170	170
Ech1	9	CAPC	11	126	0	2009	21-juil-09	-70.7	48.4	3.2	G	G	G	114	114	163	163	135	135	191	197	133	133	133	133	238	241	247	247	291	294	170	170
Ech1	10	CAPC	12	126	0	2009	21-juil-09	-70.7	48.4	2.7	F	F	F	116	120	163	163	141	141	191	197	133	133	127	133	238	244	247	247	288	288	170	170
Ech1	11	CAPC	13	126	0	2009	21-juil-09	-70.7	48.4	2.8	G	H	H	118	126	163	163	135	141	191	197	133	133	127	133	238	241	247	247	288	288	170	170
Ech1	12	CAPC	14	126	0	2009	21-juil-09	-70.7	48.4	3	G	H	H	114	114	163	163	135	141	191	197	133	133	133	133	238	241	244	247	288	294	168	170
Ech1	13	CAPC	15	126	0	2009	21-juil-09	-70.7	48.4	2.8	F	F	F	118	122	163	163	138	141	191	194	133	133	130	133	238	238	247	247	291	291	168	170
Ech1	14	CAPC	16	126	0	2009	21-juil-09	-70.7	48.4	2.6	G	H	H	114	118	163	163	0	0	191	197	133	133	127	133	238	241	247	247	276	285	168	170
Ech1	15	CAPC	17	126	0	2009	21-juil-09	-70.7	48.4	2.8	F	F	F	118	120	163	163	138	141	191	191	133	136	124	127	241	241	247	250	285	285	170	170
Ech1	16	CAPC	18	126	0	2009	21-juil-09	-70.7	48.4	2.6	F	F	F	118	120	163	163	141	141	191	191	133	136	124	124	241	241	247	247	288	294	168	170
Ech1	17	CAPC	19	126	0	2009	21-juil-09	-70.7	48.4	2.8	G	H	H	112	114	163	163	135	141	191	197	133	133	127	133	238	241	250	250	288	294	168	170
Ech1	18	CAPC	20	126	0	2009	21-juil-09	-70.7	48.4	2.6	F	F	F	116	120	163	163	138	141	191	197	133	133	133	133	238	241	247	247	288	288	170	170
Ech1	19	CAPC	21	126	0	2009	21-juil-09	-70.7	48.4	2.8	G	H	H	114	114	163	163	135	141	191	197	133	133	133	133	238	238	247	247	285	294	170	170
