Stn	T4700	G150	T1966	T461	T1338	T3133	Spp
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	134-134	72-72	105-105	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Balsfjord 1	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-139	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	NA	Calanus glacialis
Balsfjord 1	70-70	131-131	NA	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	139-139	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	NA	72-72	NA	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
